First Name;Last Name;Email;Birthday;Phone number;Job Title;Company Name;Retired;Profile
Lois;Walker;lois.walker@hotmail.com;1987-04-21;303-572-8492;Manager;Apple;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile1.jpg
Brenda;Robinson;brenda.robinson@gmail.com;1987-03-07;225-945-4954;Engineer;Orange;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Joe;Robinson;joe.robinson@gmail.com;1987-03-08;219-904-2161;Product Manager;AT&T;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile3.jpg
Diane;Evans;diane.evans@yahoo.com;1987-03-09;215-793-6791;Assistant officer;Dell Technologies;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Benjamin;Russell;benjamin.russell@charter.net;1987-03-10;262-404-2252;Product Manager;PayPal;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Patrick;Bailey;patrick.bailey@aol.com;1987-03-11;319-812-6957;Engineer;Google;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile1.jpg
Nancy;Baker;nancy.baker@bp.com;1987-03-12;229-336-5117;Engineer;PayPal;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Carol;Murphy;carol.murphy@gmail.com;1987-03-13;216-336-0009;Security staff;Microsoft;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile4.jpg
Frances;Young;frances.young@gmail.com;1987-03-14;210-819-9765;Account assistant;Orange;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Diana;Peterson;diana.peterson@hotmail.co.uk;1987-03-15;479-783-5656;Product Manager;Orange;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Ralph;Flores;ralph.flores@yahoo.com;1987-03-16;316-280-2864;Manager;Dell Technologies;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Jack;Alexander;jack.alexander@gmail.com;1987-03-17;702-603-3769;Manager;IBM;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile1.jpg
Melissa;King;melissa.king@comcast.net;1987-03-18;216-605-3731;Account assistant;Microsoft;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile3.jpg
Wayne;Watson;wayne.watson@gmail.com;1987-03-19;701-231-9370;Product Manager;PayPal;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Cheryl;Scott;cheryl.scott@gmail.com;1987-03-20;215-288-9345;Engineer;Google;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile1.jpg
Paula;Diaz;paula.diaz@gmail.com;1987-03-21;252-531-7641;Buyer;Google;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile3.jpg
Joshua;Stewart;joshua.stewart@yahoo.ca;1987-03-22;217-279-9342;Engineer;AT&T;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile1.jpg
Theresa;Lee;theresa.lee@gmail.com;1987-03-23;319-553-8919;Engineer;IBM;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Julia;Scott;julia.scott@apple.com;1987-03-24;423-939-1010;Engineer;Apple;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile4.jpg
Thomas;Lewis;thomas.lewis@gmail.com;1987-03-06;314-679-3697;Assistant officer;Orange;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Carol;Edwards;carol.edwards@msn.com;1987-03-07;225-283-4295;Product Manager;Samsung Electronics;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile3.jpg
Matthew;Turner;matthew.turner@gmail.com;1987-03-08;236-972-7624;Product Manager;Walt Disney;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Joan;Stewart;joan.stewart@yahoo.com;1987-03-09;216-637-6800;QA tester;Apple;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile1.jpg
Ruby;Rogers;ruby.rogers@gmail.com;1987-03-10;423-231-6507;Product Manager;Samsung Electronics;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
Carolyn;Hayes;carolyn.hayes@hotmail.co.uk;1987-03-11;239-882-8784;CEO;Dell Technologies;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Anne;Russell;anne.russell@ibm.com;1987-03-12;605-635-1306;Security staff;Amazon;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile4.jpg
Daniel;Cooper;daniel.cooper@yahoo.com;1987-03-13;701-510-8162;QA tester;Amazon;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile3.jpg
Roger;Roberts;roger.roberts@gmail.com;1987-03-14;206-497-3141;Manager;Intel;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Maria;Walker;maria.walker@microsoft.com;1987-03-15;423-668-5506;Manager;Verizon Communications;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile4.jpg
Brenda;Butler;brenda.butler@gmail.com;1987-03-16;480-814-8284;Manager;Walt Disney;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Lillian;Brown;lillian.brown@aol.com;1987-03-17;239-812-9041;Manager;IBM;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Amy;Howard;amy.howard@aol.com;1987-03-18;803-613-3168;Architect;Apple;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Gregory;Edwards;gregory.edwards@outlook.com;1987-03-19;503-256-9654;Engineer;Google;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile1.jpg
Roy;Griffin;roy.griffin@yahoo.com;1987-03-20;219-506-9378;Assistant officer;Intel;TRUE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile2.jpg
Richard;Mitchell;richard.mitchell@verizon.net;1987-03-21;205-621-5884;Engineer;Facebook;FALSE;https://zyllio.github.io/zyllio-samples/human-resources/employees/profile5.jpg
